"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Person weight (PWGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","","Class of worker (COW)","","","","","","","","","",""
"Group","White recode (White alone or in combination with one or more other races)","Total Class of worker (COW)","Not in universe (less than 16 years old/not in labor force (NILF) who last worked more than 5 years ago or never worked)","Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)","State government employee","Federal government employee","Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm","Working without pay in family business or farm","Unemployed and last worked 5 years ago or earlier or never worked"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> Yes -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> N/A (less than 16 years/at work/not looking) -> Yes -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> Yes","","11,070,125","615,138","7,012,716","646,531","412,836","223,949","196,398","640,061","258,095","55,107","1,009,294"
" -> Yes -> Did not report","","923,139","31,957","675,651","52,896","51,542","18,908","13,112","47,345","24,437","2,787","4,504"
" -> Yes -> Did not report -> No","","785,827","28,579","574,020","43,529","42,318","15,732","10,633","42,680","21,770","2,664","3,902"
"","No","128,524","2,382","98,893","6,575","4,819","2,320","2,241","6,687","3,047","628","932"
"","Yes","657,303","26,197","475,127","36,954","37,499","13,412","8,392","35,993","18,723","2,036","2,970"
" -> Yes -> Did not report -> Yes","","137,312","3,378","101,631","9,367","9,224","3,176","2,479","4,665","2,667","123","602"
"","No","126,012","3,173","92,179","8,684","9,060","3,071","2,320","4,485","2,405","123","512"
"","Yes","11,300","205","9,452","683","164","105","159","180","262","0","90"
" -> Yes -> N/A (less than 16 years old/at work/temporarily absent/informed of recall)","","0","0","0","0","0","0","0","0","0","0","0"
" -> Yes -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> Yes -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
